num_params,lr,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20,acc_21,acc_22,acc_23,acc_24,acc_25,acc_26,acc_27,acc_28,acc_29,acc_30,acc_31,acc_32,acc_33,acc_34,acc_35,acc_36,acc_37,acc_38,acc_39,acc_40,acc_41,acc_42,acc_43,acc_44,acc_45,acc_46,acc_47,acc_48,acc_49
253770,0.001,0.2676282051,0.3092948718,0.4016426282,0.4451121795,0.4477163462,0.4104567308,0.5030048077,0.5218349359,0.5342548077,0.5294471154,0.5438701923,0.5687099359,0.5805288462,0.5675080128,0.5888671875,0.5809294872,0.5919471154,0.5973557692,0.5945512821,0.6173878205,0.6137820513,0.6057692308,0.6111778846,0.6173878205,0.6268028846,0.6217948718,0.6412259615,0.6203926282,0.6504407051,0.6818910256,0.690234375,0.6971153846,0.6969150641,0.6975160256,0.7023237179,0.6987179487,0.7003205128,0.6965144231,0.6983173077,0.7009214744,0.7047275641,0.7021233974,0.7025240385,0.7047275641,0.7019230769,0.7053285256,0.705078125,0.7053285256,0.7065304487,0.7061298077
382662,0.001,0.2235576923,0.3503605769,0.4182692308,0.4172676282,0.4789663462,0.453525641,0.4919871795,0.5278445513,0.5466746795,0.5562900641,0.5861378205,0.5548878205,0.5546875,0.5747195513,0.5974609375,0.5931490385,0.6187900641,0.5879407051,0.6225961538,0.6272035256,0.6352163462,0.6185897436,0.6366185897,0.6400240385,0.6338141026,0.6398237179,0.6350160256,0.6526442308,0.6660657051,0.6810897436,0.6951171875,0.6993189103,0.6989182692,0.6959134615,0.6965144231,0.7029246795,0.6995192308,0.7015224359,0.6961137821,0.7053285256,0.7025240385,0.7029246795,0.7029246795,0.6979166667,0.7051282051,0.7071314103,0.7083984375,0.7103365385,0.7051282051,0.7133413462
466224,0.001,0.2918669872,0.3932291667,0.4381009615,0.4152644231,0.4977964744,0.4615384615,0.5176282051,0.569911859,0.5845352564,0.5789262821,0.6394230769,0.6398237179,0.6366185897,0.6624599359,0.640625,0.664463141,0.6760817308,0.6824919872,0.6732772436,0.7049278846,0.6786858974,0.6993189103,0.6881009615,0.6901041667,0.7065304487,0.7149439103,0.7235576923,0.7063301282,0.7355769231,0.7628205128,0.7740234375,0.7766426282,0.7796474359,0.7774439103,0.7760416667,0.7740384615,0.7746394231,0.7792467949,0.7788461538,0.7770432692,0.7770432692,0.7768429487,0.7768429487,0.7770432692,0.7800480769,0.7774439103,0.77890625,0.7764423077,0.7798477564,0.7788461538
327024,0.001,0.2780448718,0.3489583333,0.3752003205,0.460536859,0.4637419872,0.5250400641,0.5102163462,0.555088141,0.5338541667,0.5715144231,0.5907451923,0.5953525641,0.6268028846,0.6007612179,0.6005859375,0.6007612179,0.6223958333,0.6165865385,0.6306089744,0.6346153846,0.586338141,0.6602564103,0.6213942308,0.6746794872,0.6260016026,0.6544471154,0.664463141,0.656650641,0.6720753205,0.7039262821,0.7220703125,0.7199519231,0.7185496795,0.7253605769,0.7217548077,0.7311698718,0.7221554487,0.7265625,0.7279647436,0.7279647436,0.7281650641,0.7271634615,0.7335737179,0.7331730769,0.7321714744,0.7335737179,0.7283203125,0.7277644231,0.7305689103,0.7335737179
364434,0.001,0.1848958333,0.3267227564,0.3385416667,0.3788060897,0.3810096154,0.4603365385,0.4909855769,0.5268429487,0.5580929487,0.5751201923,0.5769230769,0.6095753205,0.5643028846,0.6067708333,0.6142578125,0.6115785256,0.6270032051,0.6356169872,0.6340144231,0.6173878205,0.625,0.6057692308,0.6724759615,0.6620592949,0.6646634615,0.6646634615,0.6702724359,0.6634615385,0.6702724359,0.7129407051,0.7232421875,0.7259615385,0.726963141,0.7285657051,0.7353766026,0.7317708333,0.7341746795,0.7377804487,0.7325721154,0.7375801282,0.7325721154,0.7363782051,0.7359775641,0.7395833333,0.7375801282,0.7351762821,0.73671875,0.7379807692,0.7387820513,0.7341746795
254484,0.001,0.2710336538,0.3421474359,0.3219150641,0.4028445513,0.4981971154,0.46875,0.4533253205,0.5406650641,0.491786859,0.5705128205,0.5955528846,0.5871394231,0.5492788462,0.5618990385,0.5208984375,0.5100160256,0.6258012821,0.5917467949,0.6398237179,0.6382211538,0.6526442308,0.6606570513,0.6398237179,0.6746794872,0.655849359,0.6959134615,0.6734775641,0.7015224359,0.6686698718,0.71875,0.742578125,0.7461939103,0.7445913462,0.7465945513,0.7520032051,0.7516025641,0.7546073718,0.7522035256,0.7502003205,0.7512019231,0.7542067308,0.7532051282,0.7542067308,0.7552083333,0.7566105769,0.7540064103,0.753125,0.7560096154,0.7508012821,0.7514022436
191886,0.001,0.1872996795,0.3341346154,0.3737980769,0.4168669872,0.4383012821,0.5482772436,0.5064102564,0.5775240385,0.5596955128,0.59375,0.5765224359,0.6109775641,0.6072265625,0.5995592949,0.6430288462,0.6161858974,0.6320112179,0.6308092949,0.6508413462,0.6482371795,0.6163862179,0.6672676282,0.6614583333,0.6478365385,0.6646634615,0.6652644231,0.6330128205,0.6726762821,0.687109375,0.6999198718,0.718349359,0.718349359,0.7217548077,0.7235576923,0.7169471154,0.7241586538,0.7271634615,0.7263621795,0.7239583333,0.7281650641,0.7285657051,0.7251602564,0.7281650641,0.7271634615,0.7326171875,0.7255608974,0.7273637821,0.7297676282,0.7305689103,0.726963141
228096,0.001,0.1917067308,0.3185096154,0.335536859,0.3509615385,0.4362980769,0.4429086538,0.4823717949,0.4637419872,0.5006009615,0.5150240385,0.5244391026,0.5140224359,0.461328125,0.5452724359,0.5566907051,0.5867387821,0.5851362179,0.5769230769,0.5853365385,0.6069711538,0.5911458333,0.5971554487,0.6270032051,0.6193910256,0.6374198718,0.6416266026,0.6211939103,0.6428285256,0.64140625,0.6686698718,0.6804887821,0.6858974359,0.6820913462,0.6850961538,0.6897035256,0.6826923077,0.6897035256,0.6885016026,0.6893028846,0.6951121795,0.6885016026,0.6919070513,0.6939102564,0.6933092949,0.6919921875,0.6945112179,0.6969150641,0.7009214744,0.6969150641,0.694911859
300000,0.001,0.2379807692,0.3171073718,0.3305288462,0.3916266026,0.4767628205,0.4350961538,0.5046073718,0.4417067308,0.5370592949,0.5568910256,0.5935496795,0.5641025641,0.5716796875,0.4837740385,0.6009615385,0.609775641,0.5639022436,0.6171875,0.5622996795,0.632411859,0.6516426282,0.6344150641,0.5616987179,0.640224359,0.6300080128,0.546875,0.6498397436,0.6584535256,0.65546875,0.7037259615,0.7207532051,0.7301682692,0.7301682692,0.7297676282,0.7297676282,0.7279647436,0.7331730769,0.7319711538,0.7341746795,0.7375801282,0.733974359,0.7365785256,0.7357772436,0.7353766026,0.738671875,0.7389823718,0.7369791667,0.7449919872,0.7331730769,0.7377804487
308724,0.001,0.3417467949,0.3543669872,0.3211137821,0.3920272436,0.4891826923,0.5262419872,0.4547275641,0.5546875,0.5256410256,0.5815304487,0.5272435897,0.5953525641,0.598828125,0.5889423077,0.5965544872,0.5951522436,0.6398237179,0.6572516026,0.6278044872,0.608974359,0.6394230769,0.6824919872,0.656650641,0.6642628205,0.6578525641,0.6582532051,0.6724759615,0.6967147436,0.66484375,0.7163461538,0.7443910256,0.7459935897,0.7433894231,0.7469951923,0.7453926282,0.7451923077,0.7485977564,0.7477964744,0.7487980769,0.7530048077,0.7522035256,0.7487980769,0.7491987179,0.7512019231,0.753125,0.7506009615,0.7508012821,0.7497996795,0.7471955128,0.7491987179
390204,0.001,0.2592147436,0.3924278846,0.4054487179,0.383213141,0.4709535256,0.5350560897,0.5274439103,0.5767227564,0.5819310897,0.5931490385,0.5753205128,0.5955528846,0.583984375,0.5436698718,0.6051682692,0.5224358974,0.5793269231,0.6326121795,0.6169871795,0.6276041667,0.632411859,0.6103766026,0.6139823718,0.6550480769,0.6215945513,0.6660657051,0.6522435897,0.664463141,0.677734375,0.7067307692,0.7239583333,0.7241586538,0.7271634615,0.7255608974,0.7299679487,0.7329727564,0.7293669872,0.7267628205,0.7287660256,0.7325721154,0.7295673077,0.7295673077,0.7283653846,0.7299679487,0.733203125,0.7327724359,0.7319711538,0.7289663462,0.7315705128,0.7311698718
340956,0.001,0.2884615385,0.3752003205,0.4110576923,0.4893830128,0.4306891026,0.5128205128,0.5226362179,0.4915865385,0.5574919872,0.5991586538,0.5873397436,0.6051682692,0.609375,0.5488782051,0.6280048077,0.6280048077,0.6408253205,0.6520432692,0.6494391026,0.6578525641,0.6197916667,0.6642628205,0.6570512821,0.6552483974,0.6744791667,0.6646634615,0.6482371795,0.6796875,0.67109375,0.7243589744,0.7391826923,0.7385817308,0.7423878205,0.7435897436,0.7397836538,0.7391826923,0.7403846154,0.7431891026,0.7467948718,0.7455929487,0.7437900641,0.7459935897,0.7481971154,0.7479967949,0.74296875,0.7461939103,0.7443910256,0.7435897436,0.7437900641,0.7451923077
