net,training_dataset,num_params,depth,lr,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20
"[C(128,3,1), P(2,2), D(1,4), C(512,3,1), C(64,3,1), D(2,4), C(256,5,1), C(64,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,2321792,8,0.00016,0.7492,0.8172,0.8432,0.8778,0.8874,0.908,0.9066,0.9176,0.9194,0.918,0.9198,0.923,0.9218,0.923,0.9238,0.9236,0.9232,0.9234,0.923,0.9238
"[C(64,3,1), C(256,1,1), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(256,5,1), C(128,3,1), D(3,4), C(64,5,1), C(64,5,1), D(4,4), SM(10)]",svhn,3475136,9,0.001,0.6578,0.8164,0.8642,0.8714,0.8824,0.9028,0.9054,0.9126,0.913,0.9142,0.9226,0.9212,0.923,0.9234,0.9232,0.9242,0.9244,0.9256,0.9254,0.9242
"[C(128,3,1), P(2,2), D(1,5), C(128,5,1), C(256,3,1), D(2,5), C(256,5,1), P(2,2), D(3,5), C(128,1,1), C(256,3,1), D(4,5), C(128,1,1), SM(10)]",svhn,2723200,10,0.001,0.7936,0.8334,0.873,0.9022,0.9012,0.9234,0.924,0.9274,0.9258,0.9272,0.9378,0.9386,0.941,0.9402,0.9378,0.9388,0.939,0.9394,0.9388,0.9386
"[C(128,3,1), P(2,2), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(256,5,1), P(2,2), D(3,4), C(128,1,1), C(256,5,1), D(4,4), SM(10)]",svhn,4836736,9,0.001,0.72,0.8412,0.8622,0.879,0.8876,0.9118,0.9166,0.9204,0.9236,0.9264,0.9264,0.9258,0.9308,0.9288,0.93,0.9306,0.9302,0.9328,0.9316,0.9318
"[C(128,3,1), P(2,2), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(256,5,1), P(5,3), D(3,4), C(512,1,1), SM(10)]",svhn,2739584,8,0.00016,0.361,0.7524,0.8498,0.8782,0.8904,0.9022,0.9066,0.91,0.9126,0.9152,0.9188,0.9192,0.9192,0.919,0.9216,0.921,0.9208,0.9208,0.9224,0.922
"[C(128,3,1), P(2,2), D(1,4), C(128,5,1), C(512,5,1), D(2,4), C(256,1,1), C(128,3,1), D(3,4), C(64,5,1), C(64,3,1), D(4,4), SM(10)]",svhn,2755968,9,0.001,0.7008,0.8354,0.8756,0.883,0.9032,0.9196,0.9222,0.9242,0.9276,0.9294,0.9328,0.9344,0.9334,0.9356,0.9346,0.935,0.9358,0.9342,0.9362,0.9368
"[C(256,1,1), C(256,3,1), D(1,6), C(64,3,1), C(256,3,1), D(2,6), C(256,5,1), C(64,5,1), D(3,6), C(512,1,1), C(64,3,1), D(4,6), C(256,5,1), C(512,5,1), D(5,6), C(256,3,1), C(128,3,1), D(6,6), SM(10)]",svhn,8569600,13,0.00016,0.8372,0.8852,0.897,0.899,0.904,0.9222,0.9248,0.9282,0.9264,0.9264,0.9306,0.9306,0.9314,0.9314,0.9326,0.9314,0.9312,0.9308,0.9312,0.9312
"[C(128,3,1), C(64,1,1), D(1,4), C(128,5,1), C(512,5,1), D(2,4), C(256,1,1), C(256,5,1), D(3,4), C(64,5,1), C(64,5,1), D(4,4), GAP(10), SM(10)]",svhn,4136960,10,0.001,0.3164,0.29,0.5512,0.7992,0.8734,0.8892,0.8936,0.8978,0.9014,0.8946,0.8946,0.8968,0.899,0.9018,0.9,0.9088,0.9062,0.908,0.9084,0.9098
"[C(128,3,1), P(2,2), D(1,6), C(128,5,1), C(256,3,1), D(2,6), C(256,5,1), C(64,5,1), D(3,6), P(2,2), C(256,1,1), D(4,6), C(256,5,1), C(512,5,1), D(5,6), C(256,3,1), C(256,1,1), D(6,6), SM(10)]",svhn,8998272,13,0.0004,0.7012,0.8624,0.8916,0.901,0.9124,0.9352,0.9348,0.9336,0.9326,0.9366,0.9394,0.9388,0.9388,0.9402,0.939,0.9414,0.9422,0.9428,0.9418,0.943
"[C(64,3,1), C(256,1,1), D(1,6), C(128,5,1), C(256,3,1), D(2,6), C(256,5,1), C(64,5,1), D(3,6), C(256,3,1), C(256,3,1), D(4,6), C(128,1,1), C(512,1,1), D(5,6), P(3,2), C(512,5,1), D(6,6), SM(10)]",svhn,17123008,13,0.000064,0.772,0.8354,0.8712,0.8902,0.897,0.918,0.9182,0.9188,0.92,0.9226,0.921,0.9198,0.9204,0.9208,0.9204,0.922,0.9208,0.921,0.9206,0.9216
